From,To,Strength
nm3662667,nm1568415,1
nm3662667,nm3421365,1
nm3662667,nm3661490,1
nm1568415,nm3421365,1
nm1568415,nm3661490,1
nm1568415,nm0219967,1
nm1568415,nm1069034,1
nm1568415,nm0348004,1
nm3421365,nm3661490,1
nm0344435,nm0004821,2
nm0344435,nm0262635,2
nm0344435,nm0004695,2
nm0344435,nm2301950,1
nm0344435,nm0001057,1
nm0344435,nm0000347,1
nm0344435,nm0828980,1
nm0344435,nm0006969,1
nm0344435,nm0000982,1
nm0344435,nm0004988,1
nm0344435,nm0001290,1
nm0344435,nm2910141,1
nm0004821,nm0262635,2
nm0004821,nm0004695,2
nm0004821,nm0005458,1
nm0004821,nm1157358,1
nm0004821,nm0000246,1
nm0004821,nm0000182,1
nm0004821,nm0479471,1
nm0004821,nm0206257,1
nm0004821,nm0000560,1
nm0004821,nm0636426,1
nm0004821,nm0001780,1
nm0004821,nm0772704,1
nm0004821,nm0816508,1
nm0004821,nm2628935,1
nm0262635,nm0004695,2
nm0262635,nm0000168,2
nm0262635,nm0005458,1
nm0262635,nm1157358,1
nm0262635,nm0266824,1
nm0262635,nm0267506,1
nm0262635,nm0000602,1
nm0262635,nm0004741,1
nm0262635,nm0000206,1
nm0262635,nm0004778,1
nm0262635,nm0842770,1
nm0262635,nm0331516,1
nm0262635,nm0000375,5
nm0262635,nm0757855,1
nm0262635,nm0185819,1
nm0262635,nm0004754,1
nm0262635,nm0719637,1
nm0262635,nm0117146,1
nm0262635,nm0000438,1
nm0262635,nm0424060,3
nm0262635,nm0614165,1
nm0262635,nm0333410,1
nm0262635,nm0001845,1
nm0262635,nm0491402,1
nm0262635,nm0749263,3
nm0262635,nm0000671,1
nm0262635,nm0604742,1
nm0262635,nm0915989,1
nm0262635,nm1404408,1
nm0262635,nm3500747,1
nm0262635,nm0191633,1
nm0262635,nm0193295,1
nm0262635,nm0126284,1
nm0262635,nm2017943,1
nm0262635,nm1225406,1
nm0262635,nm0068260,1
nm0262635,nm1659221,1
nm0262635,nm0252961,1
nm0262635,nm0310966,1
nm0262635,nm0001100,1
nm0262635,nm1165110,3
nm0262635,nm0818055,1
nm0262635,nm1869101,3
nm0262635,nm1551130,1
nm0262635,nm0812307,1
nm0262635,nm0169806,1
nm0262635,nm2201555,1
nm0262635,nm0000130,1
nm0262635,nm5085683,1
nm0262635,nm0242026,1
nm0262635,nm2538735,1
nm0004695,nm0159789,1
nm0004695,nm0005458,1
nm0004695,nm0654110,1
nm0004695,nm0005024,1
nm0004695,nm0000565,1
nm0004695,nm0004266,1
nm0004695,nm0000246,1
nm0004695,nm0000134,1
nm0004695,nm0000706,1
nm0004695,nm0000112,1
nm0004695,nm0000532,1
nm0004695,nm0001173,1
nm0004695,nm0005433,1
nm0004695,nm0908094,1
nm0004695,nm0004790,1
nm0004695,nm1008709,1
nm0004695,nm0005273,1
nm0004695,nm0503567,1
nm0004695,nm0004937,1
nm0004695,nm0735442,1
nm0004695,nm0330687,1
nm0004695,nm0000620,2
nm0004695,nm0539082,1
nm0004695,nm0000205,1
nm0004695,nm0784884,1
nm0004695,nm0000196,1
nm0004695,nm0000161,1
nm0004695,nm0006969,1
nm0004695,nm0176981,1
nm0004695,nm0283945,1
nm0004695,nm1161069,1
nm0004695,nm0000982,1
nm0004695,nm0001803,2
nm0004695,nm0000210,1
nm0004695,nm0000169,1
nm0004695,nm0000154,1
nm0004695,nm0891786,1
nm0000136,nm0000307,6
nm0000136,nm0001833,1
nm0000136,nm0001808,1
nm0000136,nm0000191,1
nm0000136,nm0004266,2
nm0000136,nm0004851,1
nm0000136,nm0089217,3
nm0000136,nm1200692,1
nm0000136,nm0648249,1
nm0000136,nm0000151,1
nm0000136,nm0001401,1
nm0000136,nm0383603,1
nm0000136,nm0446303,1
nm0000136,nm0000288,1
nm0000136,nm0000569,1
nm0000136,nm0000610,1
nm0000136,nm0001173,1
nm0000136,nm0728346,1
nm0000136,nm1519666,1
nm0000136,nm0461136,2
nm0000136,nm0202603,1
nm0000136,nm0396812,1
nm0000136,nm0000614,1
nm0000136,nm0929489,1
nm0000136,nm0001758,1
nm0000136,nm1113550,1
nm0000136,nm0614165,1
nm0000136,nm0001691,3
nm0000136,nm0001845,1
nm0000136,nm0000201,1
nm0000136,nm3747611,1
nm0000136,nm0574534,1
nm0000136,nm0283945,1
nm0000136,nm0000849,1
nm0000136,nm0356017,1
nm0000136,nm0079273,1
nm0000136,nm0164809,1
nm0000136,nm0249291,1
nm0000136,nm1985859,2
nm0000136,nm0753314,1
nm0000136,nm1212722,1
nm0000136,nm1679669,1
nm0000136,nm1500155,1
nm0000136,nm0001209,1
nm0000136,nm0424848,1
nm0000136,nm0831601,1
nm0000136,nm0279545,1
nm0000136,nm2309517,1
nm0000136,nm0001096,1
nm0000136,nm2239702,1
nm0000136,nm1601397,1
nm0000136,nm0403947,1
nm0000136,nm0130502,1
nm0000136,nm7232418,1
nm0000136,nm7414957,1
nm0000136,nm11440820,1
nm0000136,nm1605049,1
nm0000307,nm0001833,1
nm0000307,nm0001808,1
nm0000307,nm0004266,2
nm0000307,nm1200692,1
nm0000307,nm0383603,1
nm0000307,nm0446303,1
nm0000307,nm0000949,1
nm0000307,nm0000147,1
nm0000307,nm0001173,1
nm0000307,nm0000614,1
nm0000307,nm0001758,1
nm0000307,nm0001691,1
nm0000307,nm0000201,1
nm0000307,nm1541751,1
nm0000307,nm1310016,1
nm0000307,nm0147147,1
nm0000307,nm0719678,1
nm0000307,nm1985859,2
nm0000307,nm4141252,1
nm0000307,nm3510471,1
nm0000307,nm5611121,1
nm0000307,nm0001394,1
nm0000307,nm0534635,1
nm0000307,nm0001114,1
nm0000307,nm3714535,1
nm0001833,nm0001808,1
nm0001833,nm0001691,1
nm0001833,nm0607375,1
nm0001833,nm0000667,1
nm0001833,nm1375020,1
nm0001833,nm0021600,1
nm0001833,nm4563869,1
nm0001833,nm3115493,1
nm0001833,nm1212722,1
nm0001833,nm1160803,1
nm0001833,nm8958770,1
nm0001833,nm0174834,1
nm0001833,nm3528539,1
nm0001833,nm3240106,1
nm0001833,nm1273708,1
nm0001833,nm0001650,1
nm0001808,nm1519680,1
nm0001808,nm0748620,1
nm0001808,nm0000201,1
nm0159789,nm0000204,1
nm0159789,nm0000191,1
nm0159789,nm0000168,2
nm0159789,nm0005024,1
nm0159789,nm0000565,1
nm0159789,nm0000115,1
nm0159789,nm0098378,1
nm0159789,nm0004778,1
nm0159789,nm0108287,1
nm0159789,nm0059215,1
nm0159789,nm0142206,1
nm0159789,nm0250659,1
nm0159789,nm0068260,1
nm0159789,nm1377375,1
nm0159789,nm1013003,1
nm0159789,nm0000369,1
nm0159789,nm2093097,1
nm0159789,nm2843513,1
nm0159789,nm0910844,1
nm0159789,nm6285759,1
nm0159789,nm7087538,1
nm0159789,nm6702727,1
nm0000204,nm0000191,1
nm0000204,nm0000168,1
nm0000204,nm0290556,1
nm0000204,nm1405398,1
nm0000204,nm0000949,1
nm0000204,nm0000288,2
nm0000204,nm0331516,1
nm0000204,nm0005110,1
nm0000204,nm0001731,1
nm0000204,nm0000177,1
nm0000204,nm0350453,1
nm0000204,nm0765597,1
nm0000204,nm0424060,1
nm0000204,nm0051509,1
nm0000204,nm0000164,1
nm0000204,nm0001497,1
nm0000204,nm0915989,1
nm0000204,nm0001291,1
nm0000204,nm0001653,1
nm0000204,nm0836343,1
nm0000204,nm1144419,1
nm0000204,nm0005109,1
nm0000204,nm0001745,1
nm0000204,nm1165110,3
nm0000204,nm1089991,2
nm0000204,nm0358316,1
nm0000204,nm0000213,1
nm0000204,nm1950086,1
nm0000204,nm0001993,1
nm0000204,nm1055413,1
nm0000204,nm0938950,1
nm0000204,nm5939164,1
nm0000204,nm1935086,2
nm0000204,nm1913734,1
nm0000204,nm1727356,1
nm0000204,nm0000144,1
nm0000204,nm0001082,1
nm0000204,nm0000492,1
nm0000204,nm0001133,1
nm0000191,nm0000168,1
nm0000191,nm0000160,1
nm0000191,nm1200692,1
nm0000191,nm0000228,1
nm0000191,nm0899681,1
nm0000191,nm0005023,1
nm0000191,nm0915208,2
nm0000191,nm0491259,1
nm0000191,nm0000112,1
nm0000191,nm0000123,1
nm0000191,nm0413168,1
nm0000191,nm0000114,1
nm0000191,nm0331516,1
nm0000191,nm0123632,1
nm0000191,nm0000569,1
nm0000191,nm0000313,1
nm0000191,nm0000174,1
nm0000191,nm0000158,1
nm0000191,nm0931329,1
nm0000191,nm0424060,1
nm0000191,nm0631490,1
nm0000191,nm0001626,1
nm0000191,nm0029400,1
nm0000191,nm0193295,1
nm0000191,nm2017943,1
nm0000191,nm0001015,1
nm0000191,nm0001971,1
nm0000191,nm0001745,1
nm0000191,nm0022883,1
nm0000191,nm0001804,1
nm0000191,nm0957909,1
nm0000191,nm1256532,1
nm0000191,nm2057036,1
nm0000191,nm1055413,1
nm0000191,nm0309693,1
nm0000191,nm0931404,1
nm0000191,nm0001209,1
nm0000191,nm4043618,1
nm0000191,nm0001538,1
nm0000191,nm0396558,1
nm0000191,nm0272581,1
nm0000191,nm1218607,1
nm0000191,nm2442289,1
nm0000191,nm5009714,1
nm0000191,nm0001567,1
nm0000191,nm0103195,1
nm0000191,nm9640481,1
nm0000191,nm14151887,1
nm0000191,nm3198812,1
nm0000191,nm3009594,1
nm0000191,nm1601397,1
nm0000191,nm6432607,1
nm0000191,nm7738797,1
nm0000168,nm0000323,1
nm0000168,nm0000207,1
nm0000168,nm0000673,1
nm0000168,nm1200692,1
nm0000168,nm0000246,1
nm0000168,nm0001084,1
nm0000168,nm0000353,1
nm0000168,nm0005454,1
nm0000168,nm0702572,1
nm0000168,nm0005351,3
nm0000168,nm0000602,1
nm0000168,nm0001674,1
nm0000168,nm0316079,1
nm0000168,nm0356021,1
nm0000168,nm0000147,1
nm0000168,nm0001132,1
nm0000168,nm0000104,1
nm0000168,nm0748973,1
nm0000168,nm0350453,1
nm0000168,nm0327779,1
nm0000168,nm0722647,1
nm0000168,nm0114532,1
nm0000168,nm0424060,1
nm0000168,nm0000474,1
nm0000168,nm0929489,1
nm0000168,nm0000621,1
nm0000168,nm0647634,1
nm0000168,nm0000604,1
nm0000168,nm0680667,1
nm0000168,nm0000161,1
nm0000168,nm0000523,1
nm0000168,nm0004761,1
nm0000168,nm0000505,1
nm0000168,nm0005251,1
nm0000168,nm1663205,1
nm0000168,nm1107001,1
nm0000168,nm0915989,1
nm0000168,nm0790688,1
nm0000168,nm0000131,1
nm0000168,nm0148418,1
nm0000168,nm0005203,1
nm0000168,nm0001724,1
nm0000168,nm0564215,1
nm0000168,nm0000179,1
nm0000168,nm2017943,1
nm0000168,nm0000982,1
nm0000168,nm0005493,1
nm0000168,nm0580924,1
nm0000168,nm0068260,1
nm0000168,nm0315041,1
nm0000168,nm1377375,1
nm0000168,nm1089991,1
nm0000168,nm2633535,1
nm0000168,nm0740535,1
nm0000168,nm0000198,1
nm0000168,nm0578853,1
nm0000168,nm1540404,1
nm0000168,nm0629653,1
nm0000168,nm0829032,1
nm0000168,nm5473782,1
nm0000168,nm4043618,1
nm0000168,nm0324658,1
nm0000168,nm0396558,1
nm0000168,nm0488953,2
nm0000168,nm0454809,1
nm0000168,nm0456186,1
nm0000168,nm1900772,1
nm0000168,nm0000492,1
nm0000168,nm6094820,1
nm0000168,nm6111880,1
nm0000168,nm1550948,1
nm0000168,nm1392388,1
nm0000168,nm2762369,1
nm0000168,nm0001255,1
nm0000168,nm5896355,1
nm0000168,nm11736096,1
nm0000168,nm0745780,1
nm0000168,nm0727778,1
nm3200225,nm0220729,1
nm3200225,nm0619430,1
nm3200225,nm0081090,1
nm0220729,nm0619430,1
nm0220729,nm0081090,1
nm0220729,nm0842770,1
nm0220729,nm1716909,1
nm0220729,nm0126969,2
nm0220729,nm0466345,1
nm0220729,nm4277690,1
nm0619430,nm0081090,1
nm5758702,nm0004487,1
nm5758702,nm0889542,1
nm5758702,nm0024259,2
nm5758702,nm0694893,2
nm5758702,nm0471447,1
nm5758702,nm0457410,1
nm5758702,nm0619047,1
nm5758702,nm0035018,1
nm5758702,nm2794335,1
nm5758702,nm5834406,1
nm5758702,nm4174212,1
nm5758702,nm5242011,2
nm5758702,nm3131753,2
nm5758702,nm3898762,1
nm5758702,nm1679372,2
nm5758702,nm0838517,1
nm5758702,nm5796361,1
nm5758702,nm6514032,1
nm5758702,nm11750607,1
nm5758702,nm1398736,2
nm5758702,nm5798438,1
nm5758702,nm1773444,1
nm5758702,nm14026455,1
nm5758702,nm10135079,1
nm5758702,nm8706374,1
nm5758702,nm13353280,1
nm0004487,nm0889542,1
nm0004487,nm0024259,1
nm0004487,nm0201903,1
nm0004487,nm0000821,1
nm0004487,nm0006795,1
nm0004487,nm0438463,2
nm0004487,nm1231899,1
nm0004487,nm0222426,1
nm0004487,nm0004569,1
nm0004487,nm0712546,1
nm0004487,nm0728262,1
nm0004487,nm0438501,1
nm0004487,nm0097893,1
nm0004487,nm1056425,1
nm0004487,nm0048075,2
nm0004487,nm0709359,1
nm0004487,nm2128238,1
nm0004487,nm2284981,1
nm0004487,nm1429271,1
nm0004487,nm0002043,1
nm0004487,nm0787474,1
nm0004487,nm3848064,1
nm0004487,nm3822770,1
nm0004487,nm3140757,1
nm0004487,nm6044349,1
nm0004487,nm2331000,1
nm0004487,nm5129212,1
nm0004487,nm1589340,1
nm0004487,nm0415555,1
nm0004487,nm1875948,1
nm0889542,nm0024259,1
nm0889542,nm1886166,1
nm0889542,nm0043199,1
nm0889542,nm2782609,1
nm0889542,nm0033243,1
nm0889542,nm2545330,1
nm0889542,nm1474067,1
nm0024259,nm1421465,1
nm0024259,nm0043199,1
nm0024259,nm0035018,1
nm0024259,nm3131753,2
nm0024259,nm6492899,1
nm0024259,nm1679372,1
nm0024259,nm2500160,1
nm0024259,nm0838517,1
nm0024259,nm5796361,1
nm0024259,nm5706132,1
nm0024259,nm3766040,1
nm0024259,nm1795256,1
nm0024259,nm9377410,1
nm0024259,nm8461320,1
nm0024259,nm0080247,1
nm0005458,nm0004787,1
nm0005458,nm1304386,1
nm0005458,nm0990547,1
nm0005458,nm0654110,1
nm0005458,nm0290556,1
nm0005458,nm0001472,3
nm0005458,nm0000134,1
nm0005458,nm0098378,1
nm0005458,nm0000182,1
nm0005458,nm0004874,3
nm0005458,nm0000706,1
nm0005458,nm0000501,2
nm0005458,nm0071275,1
nm0005458,nm0665114,1
nm0005458,nm0908094,1
nm0005458,nm0004286,1
nm0005458,nm0004936,1
nm0005458,nm0004754,1
nm0005458,nm0735442,2
nm0005458,nm0000104,1
nm0005458,nm0005520,1
nm0005458,nm1690331,1
nm0005458,nm0309348,1
nm0005458,nm0001326,1
nm0005458,nm0117146,1
nm0005458,nm0000579,1
nm0005458,nm0029400,1
nm0005458,nm0000661,1
nm0005458,nm0948267,1
nm0005458,nm0879085,1
nm0005458,nm0425005,3
nm0005458,nm0108287,1
nm0005458,nm0005442,2
nm0005458,nm0000560,1
nm0005458,nm0000260,1
nm0005458,nm0574534,1
nm0005458,nm0193295,2
nm0005458,nm0126284,1
nm0005458,nm0347149,1
nm0005458,nm0000179,1
nm0005458,nm0005447,1
nm0005458,nm0000230,2
nm0005458,nm1504678,1
nm0005458,nm0460694,1
nm0005458,nm0933988,1
nm0005458,nm0001282,1
nm0005458,nm0000169,1
nm0005458,nm0943104,1
nm0005458,nm0893257,1
nm0005458,nm0764430,1
nm0005458,nm0252961,1
nm0005458,nm1229204,1
nm0005458,nm0518821,1
nm0005458,nm0000424,1
nm0005458,nm0000213,1
nm0005458,nm0125588,1
nm0005458,nm0938950,1
nm0005458,nm2201555,1
nm0005458,nm0566049,1
nm0005458,nm0564697,1
nm0005458,nm6875258,1
nm0005458,nm3948952,1
nm0005458,nm3130063,1
nm0005458,nm0075710,1
nm0005458,nm0000185,1
nm0005458,nm0508356,1
nm0005458,nm0565250,1
nm0005458,nm0175916,1
nm0005458,nm0318821,1
nm0005458,nm1534698,1
nm0005458,nm0000144,1
nm0005458,nm0700712,1
nm0005458,nm4313845,1
nm0005458,nm0001697,1
nm0005458,nm0121559,1
nm0005458,nm0306572,1
nm0004787,nm1304386,1
nm0004787,nm0990547,1
nm1304386,nm0990547,1
nm1304386,nm0001132,1
nm1304386,nm3433735,1
nm1304386,nm5320024,1
nm1304386,nm0630149,1
nm1304386,nm2904789,1
nm1304386,nm5824400,1
nm0990547,nm0000147,1
nm0990547,nm2633535,1
nm0990547,nm1126657,1
nm0990547,nm0341110,1
nm0990547,nm8230647,1
nm0990547,nm2835616,1
nm0025630,nm0451307,1
nm0025630,nm0013158,1
nm0025630,nm0080324,1
nm0025630,nm0790554,1
nm0025630,nm1231899,1
nm0025630,nm0219971,1
nm0025630,nm2054901,1
nm0451307,nm0013158,1
nm0451307,nm0080324,1
nm0451307,nm0790554,1
nm0451307,nm1303433,1
nm0451307,nm1167985,1
nm0451307,nm0000821,2
nm0451307,nm0611552,3
nm0451307,nm0438463,2
nm0451307,nm0474774,1
nm0451307,nm0004626,4
nm0451307,nm0695177,1
nm0451307,nm0787462,1
nm0451307,nm1659141,1
nm0451307,nm0222426,2
nm0451307,nm1372788,1
nm0451307,nm4417069,1
nm0451307,nm0438092,2
nm0451307,nm1224082,1
nm0451307,nm0004569,2
nm0451307,nm0060607,2
nm0451307,nm1794460,1
nm0451307,nm0007102,1
nm0451307,nm0004335,1
nm0451307,nm1799038,2
nm0451307,nm1069850,1
nm0451307,nm0451174,1
nm0451307,nm0004418,1
nm0451307,nm0438501,2
nm0451307,nm1234298,1
nm0451307,nm1229940,2
nm0451307,nm1300009,1
nm0451307,nm0006689,1
nm0451307,nm0412917,2
nm0451307,nm1299011,1
nm0451307,nm1795232,1
nm0451307,nm0700875,1
nm0451307,nm0048075,1
nm0451307,nm1694524,1
nm0451307,nm0451379,1
nm0451307,nm0438494,1
nm0451307,nm2144007,1
nm0451307,nm0447240,1
nm0451307,nm2299825,1
nm0451307,nm1249116,1
nm0451307,nm0792116,1
nm0451307,nm2460840,1
nm0451307,nm1122912,1
nm0451307,nm3204740,1
nm0451307,nm3848064,1
nm0451307,nm2821544,1
nm0451307,nm1819083,1
nm0451307,nm2596365,1
nm0451307,nm9427099,1
nm0451307,nm0451391,1
nm0451307,nm2435847,2
nm0451307,nm2138653,4
nm0451307,nm8237564,1
nm0451307,nm10806242,1
nm0451307,nm5305841,1
nm0451307,nm0149837,1
nm0451307,nm0438632,1
nm0451307,nm5069465,1
nm0451307,nm3008537,1
nm0451307,nm8565406,1
nm0451307,nm2331000,2
nm0451307,nm5685980,1
nm0451307,nm6149569,1
nm0451307,nm4651098,1
nm0451307,nm2945270,1
nm0451307,nm3202701,1
nm0451307,nm9096966,1
nm0451307,nm7775934,1
nm0451307,nm1728792,1
nm0451307,nm2161624,1
nm0451307,nm1983888,1
nm0451307,nm1472197,1
nm0451307,nm6636296,1
nm0451307,nm9936176,1
nm0451307,nm11497473,1
nm0013158,nm0080324,1
nm0013158,nm0790554,1
nm0080324,nm0790554,1
nm0080324,nm0219971,1
nm0080324,nm9654612,1
nm0080324,nm4921260,1
nm0080324,nm3916302,1
nm0080324,nm3630374,1
nm0080324,nm3646632,1
nm0790554,nm0474820,1
nm0790554,nm10537855,1
nm0790554,nm7529969,1
nm0000194,nm0654110,1
nm0000194,nm0252230,1
nm0000194,nm0000323,1
nm0000194,nm0000115,1
nm0000194,nm0000553,2
nm0000194,nm0136797,1
nm0000194,nm0010736,1
nm0000194,nm0000354,1
nm0000194,nm0470981,1
nm0000194,nm0001427,1
nm0000194,nm0331516,1
nm0000194,nm0000313,1
nm0000194,nm0000147,1
nm0000194,nm1519666,1
nm0000194,nm0226820,1
nm0000194,nm0717176,1
nm0000194,nm0004754,1
nm0000194,nm0931329,1
nm0000194,nm0330687,1
nm0000194,nm1302735,1
nm0000194,nm0424060,1
nm0000194,nm0029400,1
nm0000194,nm1209966,1
nm0000194,nm0001667,1
nm0000194,nm0328828,1
nm0000194,nm0749263,1
nm0000194,nm0000131,1
nm0000194,nm0305558,1
nm0000194,nm1631269,1
nm0000194,nm2539953,1
nm0000194,nm1659221,1
nm0000194,nm1297015,1
nm0000194,nm7415871,1
nm0000194,nm1602660,1
nm0000194,nm1086543,1
nm0000194,nm0410832,1
nm0000194,nm1985859,1
nm0000194,nm2934314,1
nm0000194,nm1500155,1
nm0000194,nm1058940,1
nm0000194,nm6819854,1
nm0000194,nm0396558,1
nm0000194,nm1890784,1
nm0000194,nm0218810,1
nm0000194,nm0175814,1
nm0000194,nm6016511,1
nm0000194,nm10656677,1
nm0000194,nm2647981,1
nm0000194,nm7084314,1
nm0000194,nm3239803,1
nm0000194,nm5362984,1
nm0000194,nm0001082,1
nm0000194,nm3538539,1
nm0000194,nm0234668,1
nm0000194,nm4805317,1
nm0000194,nm0001103,1
nm0654110,nm0252230,1
nm0654110,nm0000323,1
nm0654110,nm0000246,1
nm0654110,nm0000134,1
nm0654110,nm0316079,2
nm0654110,nm0000899,1
nm0654110,nm0001416,1
nm0654110,nm0915208,1
nm0654110,nm0000949,1
nm0654110,nm0000226,1
nm0654110,nm0396924,1
nm0654110,nm0000620,1
nm0654110,nm0001626,1
nm0654110,nm0929489,1
nm0654110,nm0000149,1
nm0654110,nm0001691,1
nm0654110,nm0003244,1
nm0654110,nm0935541,1
nm0654110,nm0000243,1
nm0654110,nm0565569,1
nm0654110,nm0000210,1
nm0654110,nm2851530,1
nm0654110,nm0000090,1
nm0654110,nm0164809,1
nm0654110,nm0860947,1
nm0654110,nm3480246,1
nm0654110,nm0938950,1
nm0654110,nm1882929,1
nm0654110,nm5353321,1
nm0654110,nm1982597,1
nm0654110,nm0700712,1
nm0654110,nm3665621,1
nm0654110,nm6276553,1
nm0654110,nm6894585,1
nm0654110,nm4760889,1
nm0252230,nm0000323,1
nm0252230,nm0004266,1
nm0252230,nm0001401,1
nm0252230,nm0000128,1
nm0252230,nm0000093,1
nm0252230,nm0001605,1
nm0252230,nm0000173,1
nm0252230,nm0277213,1
nm0252230,nm0868659,1
nm0252230,nm0876138,1
nm0252230,nm0000242,1
nm0252230,nm1046097,1
nm0252230,nm1517976,1
nm0252230,nm0647634,1
nm0252230,nm0628601,1
nm0252230,nm0000243,1
nm0252230,nm1107001,1
nm0252230,nm0000729,1
nm0252230,nm0000131,1
nm0252230,nm0000630,1
nm0252230,nm0000982,1
nm0252230,nm0000210,1
nm0252230,nm0736622,1
nm0252230,nm0461498,1
nm0252230,nm0646037,1
nm0252230,nm3053338,1
nm0252230,nm1055413,1
nm0252230,nm0938950,2
nm0252230,nm1212722,2
nm0252230,nm3592338,1
nm0252230,nm0733172,1
nm0252230,nm0931324,1
nm0252230,nm0384211,1
nm0252230,nm12232681,1
nm0252230,nm3797554,1
nm0252230,nm3729721,1
nm0252230,nm10424096,1
nm0252230,nm0666739,1
nm0252230,nm0606487,1
nm0252230,nm2255973,1
nm0252230,nm5824400,1
nm0252230,nm9357186,1
nm0252230,nm10512051,1
nm0000323,nm0005562,1
nm0000323,nm1249256,1
nm0000323,nm0000553,1
nm0000323,nm0005454,1
nm0000323,nm0005132,1
nm0000323,nm0001838,1
nm0000323,nm0413168,1
nm0000323,nm0000288,3
nm0000323,nm0913822,1
nm0000323,nm1242688,1
nm0000323,nm0000147,1
nm0000323,nm0000173,1
nm0000323,nm0002071,1
nm0000323,nm0000511,1
nm0000323,nm0001173,1
nm0000323,nm0004936,1
nm0000323,nm0607865,1
nm0000323,nm0424060,1
nm0000323,nm0425005,1
nm0000323,nm0000193,1
nm0000323,nm0933727,1
nm0000323,nm0662511,1
nm0000323,nm0000980,1
nm0000323,nm2201555,1
nm0000323,nm2771798,1
nm0000323,nm5473782,1
nm0000323,nm0350079,1
nm0000323,nm2998321,1
nm0000323,nm0000172,1
nm0000323,nm0000404,1
nm0000323,nm0000768,1
nm0000323,nm9904584,1
nm0000323,nm0001709,1
nm0005024,nm0000565,1
nm0005024,nm0251986,1
nm0005024,nm0383603,1
nm0005024,nm0000375,1
nm0005024,nm0000569,1
nm0005024,nm0000313,1
nm0005024,nm0933940,1
nm0005024,nm0000149,1
nm0005024,nm0001667,1
nm0005024,nm0879085,1
nm0005024,nm0005392,1
nm0005024,nm0000152,1
nm0005024,nm2765903,1
nm0005024,nm0004710,1
nm0005024,nm0005315,1
nm0005024,nm0441588,1
nm0005024,nm0000239,1
nm0005024,nm0402271,1
nm0005024,nm2800599,1
nm0005024,nm2686262,1
nm0005024,nm0000628,1
nm0005024,nm2666409,1
nm0201903,nm1266120,1
nm0201903,nm0797773,1
nm0201903,nm1266264,1
nm0201903,nm0221529,1
nm0201903,nm1267054,1
nm0201903,nm0706787,1
nm0201903,nm0097893,1
nm0201903,nm0001669,1
nm0201903,nm0004710,1
nm0201903,nm1964139,1
nm0201903,nm2284321,1
nm0201903,nm3977708,1
nm0201903,nm3684167,1
nm0201903,nm2331000,1
nm0201903,nm1979965,1
nm0201903,nm10984965,1
nm1266120,nm0797773,1
nm1266120,nm1266264,1
nm1266120,nm0221529,1
nm1266120,nm1267054,1
nm0797773,nm1266264,1
nm0797773,nm0221529,1
nm0797773,nm1267054,1
nm0797773,nm0704694,1
nm0797773,nm9427099,1
nm0797773,nm1576284,1
nm0797773,nm1994146,1
nm0797773,nm4373872,1
nm0797773,nm5123651,1
nm1266264,nm0221529,1
nm1266264,nm1267054,1
nm0221529,nm1267054,1
nm2453174,nm7915157,1
nm2453174,nm0073426,1
nm2453174,nm1057856,1
nm2453174,nm1131934,1
nm2453174,nm0045119,1
nm2453174,nm0430806,1
nm2453174,nm1126309,1
nm2453174,nm2517906,1
nm2453174,nm1244971,1
nm2453174,nm7731129,1
nm2453174,nm6702567,1
nm2453174,nm5697682,1
nm2453174,nm2377888,1
nm2453174,nm4684606,1
nm2453174,nm11958985,1
nm2453174,nm11280432,1
nm7915157,nm0073426,1
nm7915157,nm1057856,1
nm7915157,nm1131934,1
nm7915157,nm0045119,1
nm7915157,nm0430806,1
nm7915157,nm1126309,1
nm7915157,nm2517906,1
nm0073426,nm1057856,1
nm0073426,nm1131934,1
nm0073426,nm0045119,1
nm0073426,nm0430806,1
nm0073426,nm1126309,1
nm0073426,nm2517906,1
nm0073426,nm1778107,1
nm0073426,nm2718834,1
nm0073426,nm2611149,1
nm1057856,nm1131934,1
nm1057856,nm0045119,1
nm1057856,nm0430806,1
nm1057856,nm1126309,1
nm1057856,nm2517906,1
nm1057856,nm0474609,1
nm1057856,nm1237397,1
nm1057856,nm1778107,1
nm1057856,nm3401812,1
nm1057856,nm8743969,2
nm1057856,nm0434263,1
nm1057856,nm11744134,1
nm1057856,nm11097725,1
nm1057856,nm9678323,1
nm1057856,nm7963573,1
nm1057856,nm7969116,1
nm1057856,nm3874608,1
nm1057856,nm9786343,1
nm1057856,nm13411945,1
nm1057856,nm4619181,1
nm1057856,nm3873369,1
nm1057856,nm3874010,1
nm1057856,nm4073165,1
nm1057856,nm3873179,1
nm1057856,nm13789964,1
nm1131934,nm0045119,1
nm1131934,nm0430806,1
nm1131934,nm1126309,1
nm1131934,nm2517906,1
nm1131934,nm0077681,1
nm1131934,nm1021129,1
nm1131934,nm1550913,1
nm1131934,nm0015086,1
nm1131934,nm1191347,1
nm1131934,nm1866391,1
nm1131934,nm4309684,1
nm1131934,nm3600978,1
nm1131934,nm6679624,1
nm1131934,nm2345778,1
nm1131934,nm7948338,1
nm0045119,nm0430806,1
nm0045119,nm1126309,1
nm0045119,nm2517906,1
nm0045119,nm0474774,1
nm0045119,nm1375534,1
nm0045119,nm10112473,1
nm0045119,nm4934903,1
nm0045119,nm0451425,1
nm0045119,nm3600978,1
nm0430806,nm1126309,1
nm0430806,nm2517906,1
nm1126309,nm2517906,1
