Dataset,Escenario,Metrica,Iteracion,Tiempo_ms,Memoria_Total_Bytes
IMDB,AddArista,PageRank,8,52.2091,6858392
IMDB,AddArista,PageRank,9,53.6929,6858392
IMDB,AddArista,PageRank,10,50.7646,6858392
IMDB,AddArista,EccentricityCentrality,1,16189.8,6991408
IMDB,AddArista,EccentricityCentrality,2,14399.2,6991408
IMDB,AddArista,EccentricityCentrality,3,16038.7,6991408
IMDB,AddArista,EccentricityCentrality,4,14558.1,6991408
IMDB,AddArista,EccentricityCentrality,5,16152.5,6991408
IMDB,AddArista,EccentricityCentrality,6,14321.9,6991408
IMDB,AddArista,EccentricityCentrality,7,16258.2,6991408
IMDB,AddArista,EccentricityCentrality,8,14248.3,6991408
IMDB,AddArista,EccentricityCentrality,9,16141.7,6991408
IMDB,AddArista,EccentricityCentrality,10,14286.3,6991408
IMDB,AddArista,HarmonicCentrality,1,14305.2,6991408
IMDB,AddArista,HarmonicCentrality,2,16113.6,6991408
IMDB,AddArista,HarmonicCentrality,3,14032.6,6991408
IMDB,AddArista,HarmonicCentrality,4,16025.3,6991408
IMDB,AddArista,HarmonicCentrality,5,14309,6991408
IMDB,AddArista,HarmonicCentrality,6,16005.6,6991408
IMDB,AddArista,HarmonicCentrality,7,14159,6991408
IMDB,AddArista,HarmonicCentrality,8,15981,6991408
IMDB,AddArista,HarmonicCentrality,9,14313.4,6991408
IMDB,AddArista,HarmonicCentrality,10,15986.1,6991408
IMDB,AddArista,AverageShortestPath,1,16136.8,6725512
IMDB,AddArista,AverageShortestPath,2,14368.9,6725512
IMDB,AddArista,AverageShortestPath,3,16142.3,6725512
IMDB,AddArista,AverageShortestPath,4,14506.8,6725512
IMDB,AddArista,AverageShortestPath,5,16140.4,6725512
IMDB,AddArista,AverageShortestPath,6,14363,6725512
IMDB,AddArista,AverageShortestPath,7,16177.7,6725512
IMDB,AddArista,AverageShortestPath,8,14243.6,6725512
IMDB,AddArista,AverageShortestPath,9,16183.1,6725512
IMDB,AddArista,AverageShortestPath,10,14553,6725512
IMDB,AddArista,BetweennessCentrality,1,64629.9,8729540
IMDB,AddArista,BetweennessCentrality,2,64419.1,8729540
IMDB,AddArista,BetweennessCentrality,3,65852.2,8729540
IMDB,AddArista,BetweennessCentrality,4,66835.3,8729540
IMDB,AddArista,BetweennessCentrality,5,63128.2,8729540
IMDB,AddArista,BetweennessCentrality,6,65010.4,8729540
IMDB,AddArista,BetweennessCentrality,7,63960.6,8729540
IMDB,AddArista,BetweennessCentrality,8,65051.4,8729540
IMDB,AddArista,BetweennessCentrality,9,64625.1,8729540
